(開発中) CM3D2 Motion (.anm)	(WIP) CM3D2 Motion (.anm)
カスタムメイド3D2のanmファイルを読み込みます	Read the anm file of CM3D2
ファイルを開くのに失敗しました、アクセス不可かファイルが存在しません	Failed to open the file, does not exist or inaccessible file
これはカスタムメイド3D2のモーションファイルではありません	This is not a motion file of CM3D2
Software\KISS\カスタムメイド3D2	Software\KISS\カスタムメイド3D2
mateとして保存	Save as mate
表示しているマテリアルをmateファイルとして保存します	Save material that is displayed as mate file
ファイルをバックアップ	Backup File
ファイルに上書きする場合にバックアップファイルを複製します	Duplicate the backup file if you want to overwrite the file
ファイルバージョン	File Version
名前1	Name1
名前2	Name2
ファイルを開くのに失敗しました、アクセス不可の可能性があります	Failed to open the file, there is a possibility of inaccessible
texタイプの設定値の取得に失敗しました、中止します	Failed to get the tex type of setting, cancelled
表示しているテキストデータをmateファイルとして保存します	Save the text data that is displayed as mate file
tex col f 以外の設定値が見つかりました、中止します	tex col f other than the set value is found, cancelled
mateファイルの出力に失敗、中止します。 構文を見直して下さい	failure to output of mate file, cancelled. Please review the syntax
mateを開く	Open mate
mateファイルをマテリアルとして開きます	Open the mate file as material
種類に合わせてマテリアルを装飾	Decorate Material
テクスチャを探す	Search Texture
CM3D2本体のインストールフォルダからtexファイルを探して開きます	Open from CM3D2 installation folder looking for a tex file
これはmateファイルではありません、中止します	This is not a mate file, cancelled
未知の設定値タイプが見つかりました、中止します	Unknown setting type was found, cancelled
mateファイルをテキストとして開きます	Open the mate file as text
現在のテキストに上書き	Overwrite Now Text
上書きする為のテキストデータが見つかりません	Text data can not be found to override
CM3D2用	CM3D2
ボーン情報	Bone Info
コピー	Copy
貼り付け	Paste
ボーン名変換	Convert Bone Names
CM3D2 → Blender	CM3D2 > Blender
Blender → CM3D2	Blender > CM3D2
ポーズ	Pose
オリジナル	Original
ポージング	Posing
ボーン名をCM3D2用→Blender用に変換	Bone Names CM3D2 > Blender
CM3D2で使われてるボーン名をBlenderで左右対称編集できるように変換します	Bone names used in CM3D2 to convert to be able to edit left-right symmetry in Blender
変換できる名前が見つかりませんでした	Not Found Convertable Name
ボーン名をBlender用に変換しました	Converted bone name for Blender
ボーン名をBlender用→CM3D2用に変換	Bone Names Blender > CM3D2
CM3D2で使われてるボーン名に元に戻します	Return original to bone names that have been used in CM3D2
ボーン名をCM3D2用に戻しました	Returned bone names for CM3D2
ボーン情報をコピー	Copy Bone Info
カスタムプロパティのボーン情報をクリップボードにコピーします	Copy bone information of custom properties to the clipboard
ボーン情報をクリップボードにコピーしました	Copied bones information to the clipboard
ボーン情報を貼り付け	Paste Bone Info
カスタムプロパティのボーン情報をクリップボードから貼り付けます	Paste bone information of custom property from the clipboard
ボーン情報をクリップボードから貼り付けました	Pasted the bone information from the clipboard
ボーン情報を削除	Remove Bone Info
カスタムプロパティのボーン情報を全て削除します	Remove all bones information in custom property
ボーン情報を削除しました	Removed Bone Info
モディファイア強制適用	Forced Apply Modifiers
シェイプキーのあるメッシュのモディファイアでも強制的に適用します	Apply will enforce in modifiers of mesh with a shape keys
適用するモディファイア	Target Modifiers
CM3D2用 頂点グループ名変換	CM3D2 Convert Vertex Group Names
頂点グループ名をCM3D2用→Blender用に変換	Convert vertex group name Blender for CM3D2
